UsageData 2026-05-12,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
DESIGN TOOLKIT,3D TEXT,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
DESIGN TOOLKIT,MOLD MARK,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
DESIGN TOOLKIT,3D TEXT,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Failed,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,HOLES,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,HOLES,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
